,comb,mol1,mol2,confidence
22219,comb22220,ZINC000000968282,ZINC000001656970,0.42417873592230904
5916,comb5917,ZINC000100074226,ZINC000000896527,0.4231119144393567
22113,comb22114,ZINC000000967534,ZINC000001654295,0.4218611613408815
19349,comb19350,ZINC000059029793,ZINC000000896527,0.42167427108754313
44900,comb22110_,ZINC000004916677,ZINC000000967534,0.420597462313267
5561,comb5562,ZINC000087515584,ZINC000001845807,0.4121039232339735
41452,comb18662_,ZINC000000968282,ZINC000004769055,0.4100424224841127
19363,comb19364,ZINC000059029793,ZINC000001845807,0.40860138214275055
44901,comb22111_,ZINC000000087024,ZINC000000967534,0.40636959232547865
44903,comb22113_,ZINC000001620997,ZINC000000967534,0.4051893845032017
6644,comb6645,ZINC000197382366,ZINC000000967759,0.40353221637924
22119,comb22120,ZINC000000967534,ZINC000012371961,0.40344339844604354
3841,comb3842,ZINC000064622643,ZINC000000968282,0.40250405855688676
5545,comb5546,ZINC000087515584,ZINC000000388506,0.4015029141398911
6639,comb6640,ZINC000197382366,ZINC000000388498,0.40055968903191214
